281.210281	281.585281	अ
283.266625	284.101625	आ
284.558000	284.923000	अ
285.266437	286.116437	आ
287.826875	288.046875	इ
288.447469	289.657469	ई
292.089687	292.354688	उ
292.738219	293.698219	ऊ
295.940281	296.630281	ऋ
296.297812	297.512812	ॠ
299.201281	299.761281	ऌ
299.866531	300.741531	ॡ
308.003562	308.598563	ए
309.394406	310.404406	ए
311.961719	313.111719	ऐ
316.177625	316.937625	ए
321.094813	321.394813	इ
323.110281	323.920281	इ
324.873156	325.248156	ए
326.327562	327.182563	ऐ
336.953781	337.603781	ओ
339.452281	340.427281	औ
340.510750	341.340750	ओ
343.407719	343.767719	उ
344.550156	345.345156	औ
346.644313	347.154313	ऊ
356.060469	356.965469	अं
365.833594	366.983594	अः
381.771563	382.151563	अ
382.894531	383.879531	आ
384.264969	384.514969	इ
384.729875	385.559875	ई
386.074750	386.334750	उ
386.568438	387.438438	ऊ
387.811094	388.221094	ऋ
388.367813	389.257812	ॠ
389.462500	390.192500	ऌ
389.773375	391.003375	ॡ
396.851688	397.741688	आ
397.500469	398.140469	ई
399.316625	399.951625	ए
401.169469	402.294469	ऐ
402.911656	403.446656	अ
403.168625	403.968625	उ
404.163281	404.878281	ओ
406.316375	407.246375	औ
408.476969	409.366969	अं
416.314906	416.954906	अः
533.912812	534.287812	अ
549.788031	550.823031	अ
553.768813	554.818813	अ
608.716156	609.396156	अ
611.310812	612.520813	आ
660.802031	661.407031	अ
661.913031	662.748031	आ
664.507656	664.817656	इ
671.984594	672.694594	ई
672.910969	673.385969	इ
682.132062	683.262062	ई
686.754375	687.064375	उ
696.599406	697.234406	उ
702.520375	702.930375	अ
703.066406	703.831406	उ
706.183625	706.893625	अ
707.366219	707.826219	उ
708.690875	709.200875	ओ
711.388000	712.123000	ओ
713.688406	714.448406	अ
715.056625	715.836625	उ
723.614281	724.339281	उ
727.028438	727.533438	अ
729.648469	730.953469	ऊ
736.601000	737.291000	ऋ
748.267844	748.862844	ऋ
756.806406	757.621406	ॠ
791.157031	791.677031	ऌ
797.873469	798.683469	ऌ
805.051187	805.931187	ॡ
822.071687	822.866688	ए
823.741906	824.636906	ए
835.863813	836.298813	ए
837.275437	837.865437	ऐ
843.468875	844.408875	ऐ
846.007469	846.862469	ओ
847.072812	847.622813	ओ
847.829531	848.679531	अ
854.024250	855.009250	ओ
859.215031	860.220031	औ
870.957937	872.002938	अं
879.232500	880.042500	अः
884.211500	884.981500	अं
884.885031	885.690031	अः
895.112969	895.472969	अ
895.707250	896.642250	आ
897.185437	897.415437	इ
897.912625	898.812625	ई
899.372938	899.667937	उ
900.028187	901.143187	ऊ
901.343313	901.938313	ऋ
901.479250	902.654250	ॠ
903.085688	903.770688	ऌ
903.865719	904.835719	ॡ
905.414625	906.369625	ए
906.846469	907.861469	ऐ
908.176500	909.001500	ओ
909.269250	910.014250	औ
910.412688	910.902688	अं
911.246313	911.796312	अः
